high,low,open,close,volume,hour
118.86,118.14,118.18,118.3,1287.033840979999,15
118.49,117.37,118.31,117.37,2696.648416899999,16
118.13,117.39,117.39,118.09,896.2076451400002,17
118.2,117.65,118.03,117.91,1626.7546723599996,18
118.61,117.83,117.91,118.23,2960.618539569999,19
118.43,118.06,118.22,118.32,421.9886466099999,20
118.89,118.25,118.25,118.89,1700.71886789,21
118.88,118.25,118.81,118.37,1947.3645719200003,22
118.48,117.81,118.47,118.19,1333.40265418,23
118.35,117.93,118.28,118.24,833.9715005799999,0
118.48,118.06,118.26,118.14,679.02597066,1
118.17,117.55,118.15,117.71,600.7769512299999,2
